app,No.of tweets,No.of likes,No.of replies,No.of retweets,most common url,HOTNESS,Rank
DomiNations,16604,74337,5733,22445,https://youtu.be/FDIY_NclHVw,119119,1
PUBG MOBILE,16784,47386,6916,4647,http://youtu.be/uJ1MewujICI?a,75733,2
Smash Hit,3198,31492,1988,7071,https://twitter.com/crazyswiftie13_/status/1041015149774229505,43749,3
Clash Royale,5662,16487,2072,1541,http://youtu.be/LGSjdYqmEOI?a,25762,4
Fidget Spinner,1693,20712,548,2726,https://ift.tt/2D3omWA,25679,5
Injustice 2,1394,11494,2343,2262,http://Twitch.tv,17493,6
Into the Dead,1106,11736,810,3803,http://azblog.cloudaccess.host/into-the-dead-2-zombie-survival-apk-mod-unlimited-money-free-download/,17455,7
Timberman,1790,9132,2986,1306,GoTigerspic.twitter.com,15214,8
Amazing Ninja,1209,11400,534,1776,https://www.razalife.com/pages/product-catalog,14919,9
Drive Ahead!,1189,10099,782,2319,LaughYourHeadOffpic.twitter.com,14389,10
Clash of Clans,2902,8623,1221,1165,http://youtu.be/zx0K1jea8Us?a,13911,11
Temple Run,1174,7500,479,2684,https://twitter.com/Mister_Judah/status/1041395271530369025,11837,12
Ball Blast,496,6210,304,959,https://twitter.com/_sav21/status/1043274283105964032,7969,13
Amazing Thief,175,4733,241,1582,https://ift.tt/2xjMpv6,6731,14
Stick Hero,364,5337,437,343,https://itunes.apple.com/app/stick-hero/id918338898,6481,15
Twisty Road!,263,3518,171,2148,http://bit.ly/VVxGrandinRoad,6100,16
Red Ball,822,4172,211,745,http://www.afr.com,5950,17
Knife Hit,728,3010,650,1335,http://bit.ly/2JnCVGf,5723,18
Score! Hero,419,3251,183,471,http://media.blubrry.com/superherospeak/s/dts.podtrac.com/redirect.mp3/superherospeak.com/wp/PodCasts/SHSEp272.mp3,4324,19
War Dragons,571,2604,297,755,http://youtu.be/nzrx3gX4aXI?a,4227,20
